,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
4472,121,Campbell,2016/17,15,15,19,2.0,1.125,2.0,2.0,1.0,2.333333333333333,5,0.0,3.533333333333333
5300,143,Lukaku,2016/17,15,9,7,1.125,1.125,2.0,2.0,1.0,4.666666666666667,12,3.6,5.766666666666667
6097,164,Diomande,2016/17,15,19,15,1.125,2.0,2.0,2.0,2.0,2.6666666666666665,6,2.0,6.099999999999999
6838,184,Vardy,2016/17,15,14,4,1.875,2.375,1.125,1.375,2.0,6.666666666666668,17,5.2,6.466666666666666
6912,186,Okazaki,2016/17,15,14,4,1.875,2.375,1.125,1.375,7.0,3.0,0,2.4,3.333333333333334
7934,213,Christian Benteke,2016/17,15,15,19,2.0,1.125,2.0,2.0,12.0,9.333333333333334,6,7.2,12.133333333333335
8085,217,Origi,2016/17,15,3,17,3.0,1.125,0.5714285714285714,2.0,6.0,7.333333333333332,9,4.8,9.066666666666666
8952,241,Iheanacho,2016/17,15,4,14,2.375,1.875,1.375,1.125,1.0,1.0,1,2.4,1.3666666666666654
10036,271,Rashford,2016/17,15,6,5,1.375,1.25,0.75,0.625,1.0,1.3333333333333333,1,1.6,1.566666666666665
10072,272,Ibrahimovic,2016/17,15,6,5,1.375,1.25,0.75,0.625,7.0,6.0,2,6.4,10.233333333333333
10811,292,Rhodes,2016/17,15,16,10,1.0,1.875,1.25,2.5,1.0,1.3333333333333333,2,1.4,1.9666666666666668
10848,293,Stuani,2016/17,15,16,10,1.0,1.875,1.25,2.5,1.0,1.0,2,1.0,1.7999999999999996
11571,313,Long,2016/17,15,10,16,1.875,1.0,2.5,1.25,1.0,1.0,1,1.0,0.8333333333333339
12420,336,Crouch,2016/17,15,11,2,1.0,2.25,1.875,1.5,1.0,1.0,1,1.0,2.766666666666666
12457,337,Diouf,2016/17,15,11,2,1.0,2.25,1.875,1.5,4.0,2.6666666666666665,2,2.0,4.2
13123,355,Defoe,2016/17,15,20,18,1.125,1.625,2.0,2.25,9.0,4.333333333333333,2,7.2,5.333333333333333
14034,379,Barrow,2016/17,15,18,20,1.625,1.125,2.25,2.0,2.0,2.0,2,1.6,2.533333333333334
14925,403,Kane,2016/17,15,5,6,1.25,1.375,0.625,0.75,13.0,5.666666666666668,2,7.6,9.4
15739,425,Deeney,2016/17,15,7,9,1.125,1.125,2.0,2.0,4.0,2.6666666666666665,2,3.0,7.23333333333333
16627,449,Rondón,2016/17,15,8,1,1.125,0.875,2.0,2.0,2.0,2.0,2,3.4,3.5000000000000013
17348,468,Carroll,2016/17,15,17,3,1.125,3.0,2.0,0.5714285714285714,5.0,2.6666666666666665,1,0.0,2.9666666666666663
17386,469,Valencia,2016/17,15,9,7,1.125,1.125,2.0,2.0,1.0,1.0,1,1.0,2.1333333333333333
18538,500,Llorente,2016/17,15,18,20,1.625,1.125,2.25,2.0,1.0,9.666666666666666,13,6.4,11.4
20155,544,Ngoy,2016/17,15,11,2,1.0,2.25,1.875,1.5,0.0,0.0,1,0.0,0.0
20226,546,McBurnie,2016/17,15,18,20,1.625,1.125,2.25,2.0,1.0,0.0,1,0.0,0.0
20432,552,Okaka,2016/17,15,7,9,1.125,1.125,2.0,2.0,2.0,5.333333333333333,13,3.4,6.866666666666667
20946,567,Slimani,2016/17,15,14,4,1.875,2.375,1.125,1.375,2.0,5.0,8,5.4,6.2333333333333325
21084,571,Robson-Kanu,2016/17,15,8,1,1.125,0.875,2.0,2.0,1.0,1.0,1,1.0,0.2666666666666672
