player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
228,Sterling,2016/17,3,1,12,2.5,1,0.5,1,4,8,15,0,9.733333333
229,Nasri,2016/17,3,1,12,2.5,1,0.5,1,0,0,1,0,0
230,Silva,2016/17,3,1,12,2.5,1,0.5,1,2,3.333333333,5,0,9.6
233,Fernandinho,2016/17,3,1,12,2.5,1,0.5,1,2,4,8,0,4.866666667
234,Fernando,2016/17,3,1,12,2.5,1,0.5,1,0,0,1,0,0
235,De Bruyne,2016/17,3,1,12,2.5,1,0.5,1,4,4,6,0,8.266666667
237,Nolito,2016/17,3,1,12,2.5,1,0.5,1,13,6.333333333,5,0,7.233333333
256,Mata,2016/17,3,3,5,2,1,2,0.5,3,4.333333333,3,0,6.933333333
257,Fellaini,2016/17,3,3,5,2,1,2,0.5,3,2.333333333,2,0,3.866666667
261,Januzaj,2016/17,3,16,15,1,0.5,0.5,2.5,2,1.666666667,2,0,5.033333333
267,Martial,2016/17,3,3,5,2,1,2,0.5,3,5,1,0,6.1
268,Mkhitaryan,2016/17,3,3,5,2,1,2,0.5,1,1,1,0,2.766666667
282,Downing,2016/17,3,6,10,1.5,1,0.5,1,2,2,3,0,5.266666667
283,Clayton,2016/17,3,6,10,1.5,1,0.5,1,1,2,3,0,1.533333333
286,Forshaw,2016/17,3,6,10,1.5,1,0.5,1,2,2,3,0,2.033333333
289,Fischer,2016/17,3,6,10,1.5,1,0.5,1,0,0,1,0,0
304,Redmond,2016/17,3,15,16,0.5,1,2.5,0.5,2,4.333333333,1,0,9.233333333
305,Davis,2016/17,3,15,16,0.5,1,2.5,0.5,2,1.666666667,1,0,4.766666667
306,Ward-Prowse,2016/17,3,15,16,0.5,1,2.5,0.5,1,0,4,0,0
308,Tadic,2016/17,3,15,16,0.5,1,2.5,0.5,2,2.333333333,3,0,9.466666667
310,Oriol Romeu,2016/17,3,15,16,0.5,1,2.5,0.5,1,2.333333333,4,0,2.633333333
311,Rodriguez,2016/17,3,15,16,0.5,1,2.5,0.5,1,0,8,0,0
312,Højbjerg,2016/17,3,15,16,0.5,1,2.5,0.5,2,1.666666667,2,0,4.2
329,Whelan,2016/17,3,20,4,0.5,0.5,2,2.5,2,2.333333333,2,0,3.566666667
330,Walters,2016/17,3,20,4,0.5,0.5,2,2.5,1,1,1,0,0.5666666667
331,Arnautovic,2016/17,3,20,4,0.5,0.5,2,2.5,2,1.666666667,2,0,4.4
334,Imbula,2016/17,3,20,4,0.5,0.5,2,2.5,2,2.333333333,2,0,2.066666667
335,Bojan,2016/17,3,20,4,0.5,0.5,2,2.5,6,3,1,0,2.866666667
350,Rodwell,2016/17,3,16,15,1,0.5,0.5,2.5,2,3,1,0,2.5
351,Lens,2016/17,3,16,15,1,0.5,0.5,2.5,1,0,1,0,0
