,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
11555,37,8,19,1.1578947368421053,1.2222222222222223,1.0,2.0,1.6,2.966666666666665,2,49879797.9,49879795.9
5130,34,20,19,1.125,1.4705882352941178,2.0,1.3333333333333333,1.6,1.5000000000000009,1,97114295.8,97114294.8
22816,36,14,8,1.3888888888888888,1.875,3.0,2.0,1.6,0.9333333333333332,2,63749764.6,63749762.6
18124,5,1,17,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,1,19457488.5,19457487.5
14905,33,2,16,2.5294117647058822,1.9411764705882355,19.0,12.0,8.8,16.1,10,108437643.8,108437633.8
21781,30,10,11,1.3076923076923077,1.8,1.0,1.3333333333333333,1.4,1.5333333333333332,1,36842516.0,36842515.0
3386,11,5,18,2.0,2.0,8.0,4.333333333333333,3.4,5.233333333333333,2,41510660.8,41510658.8
4074,13,2,9,1.1428571428571428,1.0,7.0,3.6666666666666665,3.4,6.533333333333335,3,-26182425.4,26182428.4
4667,12,14,5,0.6,0.16666666666666666,2.0,1.6666666666666667,2.0,2.633333333333334,1,-27887060.3,27887061.3
4998,27,19,14,1.1428571428571428,1.2142857142857142,8.0,7.0,5.8,9.46666666666667,10,84213538.5,84213528.5
16977,24,9,13,0.75,2.4166666666666665,2.0,4.0,3.0,3.266666666666669,9,19759490.9,19759481.9
7776,9,3,13,2.75,2.0,3.0,6.666666666666668,7.4,11.133333333333335,5,30334036.7,30334031.7
5330,25,19,6,0.7692307692307693,1.6153846153846154,3.0,2.333333333333333,2.8,3.1333333333333337,2,40564886.5,40564884.5
12194,11,12,17,1.0,2.0,1.0,2.333333333333333,2.6,2.333333333333333,5,19664248.6,19664243.6
13616,15,18,20,1.625,2.0,2.0,8.333333333333334,7.8,10.83333333333333,13,81734354.7,81734341.7
601,25,14,2,1.7692307692307692,1.3846153846153846,5.0,2.6666666666666665,2.4,4.966666666666668,1,43672451.6,43672450.6
11267,37,8,19,1.1578947368421053,1.2222222222222223,1.0,3.6666666666666665,2.8,2.733333333333336,7,48833915.3,48833908.3
2028,2,19,6,0.0,0.0,1.0,0.0,0.0,0.0,2,-45355001.7,45355003.7
257,12,5,14,2.0,1.2,7.0,3.0,2.2,4.999999999999999,1,22984996.5,22984995.5
11409,35,9,17,1.5,2.055555555555556,1.0,1.3333333333333333,2.4,8.16666666666667,1,68790644.1,68790643.1
17636,37,4,12,1.7368421052631582,1.9473684210526316,1.0,0.6666666666666666,0.8,1.0666666666666664,1,41199774.6,41199773.6
17039,10,17,6,1.0,2.2,3.0,2.0,1.4,3.3666666666666667,0,19995338.3,19995338.3
6552,25,17,15,0.6153846153846154,2.0769230769230766,2.0,2.0,2.4,5.800000000000002,2,53970315.8,53970313.8
